1,ConeBurst, Task2,1.000108,1.000034,0.9998394,0.9996679,1.00035,3,,,,,,,,,,,,,,
2,ConeBurst, Task2,1.00015,1.000065,0.9996721,0.9994253,1.000688,3,,,,,,,,,,,,,,
3,ConeBurst, Task2,1.000217,1.000074,0.9995157,0.9991747,1.001018,3,,,,,,,,,,,,,,
4,ConeBurst, Task2,1.000345,1.000073,0.9993887,0.9989347,1.001258,3,,,,,,,,,,,,,,
5,ConeBurst, Task2,1.000391,1.000125,0.9992502,0.9987437,1.00149,3,,,,,,,,,,,,,,
6,ConeBurst, Task2,1.00043,1.000142,0.9991466,0.9986024,1.001678,3,,,,,,,,,,,,,,
7,ConeBurst, Task2,1.000494,1.000114,0.9990339,0.99848,1.001877,3,,,,,,,,,,,,,,
8,ConeBurst, Task2,1.000534,1.000139,0.9989558,0.9983506,1.00202,3,,,,,,,,,,,,,,
9,ConeBurst, Task2,1.000608,1.000098,0.9988775,0.9982514,1.002165,3,,,,,,,,,,,,,,
10,ConeBurst, Task2,1.00064,1.000136,0.9988068,0.9981099,1.002308,3,,,,,,,,,,,,,,
11,ConeBurst, Task2,1.000677,1.00013,0.9987582,0.9980079,1.002426,3,,,,,,,,,,,,,,
12,ConeBurst, Task2,1.000705,1.000136,0.9987374,0.9980115,1.00241,3,,,,,,,,,,,,,,
13,ConeBurst, Task2,1.000731,1.000123,0.9986996,0.9979154,1.002531,3,,,,,,,,,,,,,,
14,ConeBurst, Task2,1.000762,1.000102,0.9986758,0.9978276,1.002633,3,,,,,,,,,,,,,,
15,ConeBurst, Task2,1.000773,1.0001,0.9986346,0.9977558,1.002736,3,,,,,,,,,,,,,,
16,ConeBurst, Task2,1.000804,1.000113,0.9986315,0.997753,1.002699,3,,,,,,,,,,,,,,
17,ConeBurst, Task2,1.000822,1.000108,0.9986128,0.9976852,1.002772,3,,,,,,,,,,,,,,
18,ConeBurst, Task2,1.000838,1.000098,0.9985936,0.9976289,1.002841,3,,,,,,,,,,,,,,
19,ConeBurst, Task2,1.000851,1.000088,0.9985733,0.9975917,1.002896,3,,,,,,,,,,,,,,
20,ConeBurst, Task2,1.000868,1.000079,0.9985449,0.997564,1.002944,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,1.000108,1.00015,1.000217,1.000345,1.000391,1.00043,1.000494,1.000534,1.000608,1.00064,1.000677,1.000705,1.000731,1.000762,1.000773,1.000804,1.000822,1.000838,1.000851,1.000868
,,,1.000034,1.000065,1.000074,1.000073,1.000125,1.000142,1.000114,1.000139,1.000098,1.000136,1.00013,1.000136,1.000123,1.000102,1.0001,1.000113,1.000108,1.000098,1.000088,1.000079
,,,0.9998394,0.9996721,0.9995157,0.9993887,0.9992502,0.9991466,0.9990339,0.9989558,0.9988775,0.9988068,0.9987582,0.9987374,0.9986996,0.9986758,0.9986346,0.9986315,0.9986128,0.9985936,0.9985733,0.9985449
,,,0.9996679,0.9994253,0.9991747,0.9989347,0.9987437,0.9986024,0.99848,0.9983506,0.9982514,0.9981099,0.9980079,0.9980115,0.9979154,0.9978276,0.9977558,0.997753,0.9976852,0.9976289,0.9975917,0.997564
,,,1.00035,1.000688,1.001018,1.001258,1.00149,1.001678,1.001877,1.00202,1.002165,1.002308,1.002426,1.00241,1.002531,1.002633,1.002736,1.002699,1.002772,1.002841,1.002896,1.002944
