Option,OverallGrade,EdgeCrossGrade,NodeOverlapGrade,EdgeCrossAngGrade,AngResGrade,EdgeLengthGrade,PassedTime,,,,,,,,,,,,,,
alt2,0.4603244,0.3991407,0.3746368,0.7323906,0.6299762,0.1654779,8.21388,,,,,,,,,,,,,,
alt2,0.466688,0.4725646,0.3316711,0.7219959,0.6041679,0.2030406,4.508345,,,,,,,,,,,,,,
alt2,0.5820301,0.6805567,0.5430394,0.719062,0.5832133,0.3842791,5.329377,,,,,,,,,,,,,,
alt2,0.4344423,0.4056307,0.3170598,0.7188439,0.5913938,0.1392831,1.866059,,,,,,,,,,,,,,
alt2,0.5777587,0.7287745,0.5496439,0.7279699,0.563719,0.3186858,15.45915,,,,,,,,,,,,,,
alt2,0.470008,0.4186629,0.3667727,0.7051606,0.6013529,0.2580909,1.120795,,,,,,,,,,,,,,
alt2,0.4669977,0.4318511,0.4159802,0.7414508,0.5670099,0.1786961,4.342173,,,,,,,,,,,,,,
alt2,0.4449839,0.4252658,0.3391466,0.6984177,0.5603386,0.2017508,1.132217,,,,,,,,,,,,,,
alt2,0.4760793,0.3866903,0.453202,0.6979217,0.632961,0.2096213,1.352953,,,,,,,,,,,,,,
alt2,0.4572459,0.4728008,0.3027876,0.7011561,0.6547461,0.154739,12.74876,,,,,,,,,,,,,,
alt2,0.4322858,0.4058021,0.3376568,0.7007369,0.6213309,0.09590247,3.154625,,,,,,,,,,,,,,
alt2,0.4621582,0.3867457,0.4587304,0.6983552,0.6404157,0.1265439,7.67361,,,,,,,,,,,,,,
alt2,0.6002311,0.7702165,0.5888861,0.6821777,0.5960423,0.3638331,2.698048,,,,,,,,,,,,,,
alt2,0.5061101,0.4589983,0.3941261,0.7267855,0.6931779,0.2574624,4.631176,,,,,,,,,,,,,,
alt2,0.5883411,0.780981,0.5365468,0.6910892,0.5630063,0.3700824,13.75015,,,,,,,,,,,,,,
alt2,0.6759343,0.7809898,0.5700143,0.7610095,0.4398147,0.8278433,6.275818,,,,,,,,,,,,,,
alt2,0.4875278,0.4386823,0.4387089,0.7284635,0.7026735,0.1291108,7.823317,,,,,,,,,,,,,,
alt2,0.5011116,0.418843,0.4351461,0.7053775,0.6945343,0.2516571,1.266432,,,,,,,,,,,,,,
alt2,0.5869887,0.7094737,0.6290245,0.682659,0.5758605,0.337926,6.384887,,,,,,,,,,,,,,
alt2,0.5686992,0.71924,0.5700074,0.724783,0.4861228,0.343343,1.666533,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,OverallGrade,0.4603244,0.466688,0.5820301,0.4344423,0.5777587,0.470008,0.4669977,0.4449839,0.4760793,0.4572459,0.4322858,0.4621582,0.6002311,0.5061101,0.5883411,0.6759343,0.4875278,0.5011116,0.5869887,0.5686992
,EdgeCrossGrade,0.3991407,0.4725646,0.6805567,0.4056307,0.7287745,0.4186629,0.4318511,0.4252658,0.3866903,0.4728008,0.4058021,0.3867457,0.7702165,0.4589983,0.780981,0.7809898,0.4386823,0.418843,0.7094737,0.71924
,NodeOverlapGrade,0.3746368,0.3316711,0.5430394,0.3170598,0.5496439,0.3667727,0.4159802,0.3391466,0.453202,0.3027876,0.3376568,0.4587304,0.5888861,0.3941261,0.5365468,0.5700143,0.4387089,0.4351461,0.6290245,0.5700074
,EdgeCrossAngGrade,0.7323906,0.7219959,0.719062,0.7188439,0.7279699,0.7051606,0.7414508,0.6984177,0.6979217,0.7011561,0.7007369,0.6983552,0.6821777,0.7267855,0.6910892,0.7610095,0.7284635,0.7053775,0.682659,0.724783
,AngResGrade,0.6299762,0.6041679,0.5832133,0.5913938,0.563719,0.6013529,0.5670099,0.5603386,0.632961,0.6547461,0.6213309,0.6404157,0.5960423,0.6931779,0.5630063,0.4398147,0.7026735,0.6945343,0.5758605,0.4861228
,EdgeLengthGrade,0.1654779,0.2030406,0.3842791,0.1392831,0.3186858,0.2580909,0.1786961,0.2017508,0.2096213,0.154739,0.09590247,0.1265439,0.3638331,0.2574624,0.3700824,0.8278433,0.1291108,0.2516571,0.337926,0.343343
,PassedTime,8.21388,4.508345,5.329377,1.866059,15.45915,1.120795,4.342173,1.132217,1.352953,12.74876,3.154625,7.67361,2.698048,4.631176,13.75015,6.275818,7.823317,1.266432,6.384887,1.666533
