1,ForceDirectedAlgorithm, Task1,0.9972582,0.9952042,0.998342,0.9988557,1.01034,3
2,ForceDirectedAlgorithm, Task1,0.995681,0.9931735,0.9963068,0.9976473,1.017191,3
3,ForceDirectedAlgorithm, Task1,0.9966158,0.9895372,0.9941307,0.996896,1.02282,3
4,ForceDirectedAlgorithm, Task1,0.9962023,0.9870484,0.9932829,0.9955592,1.027907,3
5,ForceDirectedAlgorithm, Task1,0.9939818,0.9895414,0.9953722,0.99837,1.022735,3
6,ForceDirectedAlgorithm, Task1,0.9930041,0.9884877,0.996977,1.00143,1.020102,3
7,ForceDirectedAlgorithm, Task1,0.9936935,0.9911089,0.9961369,1.000837,1.018223,3
8,ForceDirectedAlgorithm, Task1,0.9941801,0.9903826,0.9943816,0.999082,1.021973,3
9,ForceDirectedAlgorithm, Task1,0.9932117,0.990683,0.9971209,1.000959,1.018025,3
10,ForceDirectedAlgorithm, Task1,0.9918069,0.9892857,0.9971638,1.000281,1.021462,3
11,ForceDirectedAlgorithm, Task1,0.9938482,0.990594,0.9958705,0.9992795,1.020408,3
12,ForceDirectedAlgorithm, Task1,0.9942467,0.9887179,0.9954189,0.9989023,1.022714,3
13,ForceDirectedAlgorithm, Task1,0.9940675,0.9870884,0.9959098,0.9982887,1.024646,3
14,ForceDirectedAlgorithm, Task1,0.9939479,0.9849213,0.9959528,0.9979056,1.027272,3
15,ForceDirectedAlgorithm, Task1,0.9941607,0.9855606,0.9963909,0.9988621,1.025025,3
16,ForceDirectedAlgorithm, Task1,0.9949259,0.9869632,0.9957455,0.9983796,1.023986,3
17,ForceDirectedAlgorithm, Task1,0.9955809,0.9879385,0.9953017,0.9981233,1.023056,3
18,ForceDirectedAlgorithm, Task1,0.9966297,0.9884166,0.9947283,0.9976843,1.022541,3
19,ForceDirectedAlgorithm, Task1,0.9966047,0.9893762,0.994821,0.9974912,1.021707,3
20,ForceDirectedAlgorithm, Task1,0.9973452,0.9900612,0.9944584,0.9972005,1.020934,3

